company_name,primary_ticker,sic,sic_description,episodes,topics,early,later,episode_share_pct
CITIGROUP INC,C,6021.0,National Commercial Banks,36,36,18,18,21.05
NEW YORK TIMES CO,NYT,2711.0,Newspapers: Publishing or  Publishing & Printing,20,20,8,12,11.7
DR REDDYS LABORATORIES LTD,RDY,2834.0,Pharmaceutical Preparations,18,18,7,11,10.53
ROYAL BANK OF CANADA,RY,6029.0,"Commercial Banks, NEC",17,17,3,14,9.94
HSBC HOLDINGS PLC,HBCYF,6035.0,"Savings Institution, Federally Chartered",12,12,5,7,7.02
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",BBVA,6029.0,"Commercial Banks, NEC",8,8,1,7,4.68
Piraeus Bank S.A.,PIRBF,,,8,8,2,6,4.68
SINOVAC BIOTECH LTD,SVA,2834.0,Pharmaceutical Preparations,8,8,3,5,4.68
"Hinge Health, Inc.",HNGE,7374.0,Services-Computer Processing & Data Preparation,7,7,0,7,4.09
MYRIAD GENETICS INC,MYGN,2835.0,In Vitro & In Vivo Diagnostic Substances,7,7,6,1,4.09
UNITED MICROELECTRONICS CORP,UMC,3674.0,Semiconductors & Related Devices,6,6,5,1,3.51
Bank of New York Mellon Corp,BNY,6022.0,State Commercial Banks,4,4,1,3,2.34
CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,CM,6029.0,"Commercial Banks, NEC",4,4,2,2,2.34
TENET HEALTHCARE CORP,THC,8062.0,"Services-General Medical & Surgical Hospitals, NEC",4,4,2,2,2.34
Tennessee Valley Authority,TVC,4911.0,Electric Services,3,3,0,3,1.75
CANADIAN NATURAL RESOURCES Ltd,CNQ,1311.0,Crude Petroleum & Natural Gas,2,2,1,1,1.17
"HCA Healthcare, Inc.",HCA,8062.0,"Services-General Medical & Surgical Hospitals, NEC",2,2,1,1,1.17
Xanadu Quantum Technologies Ltd,XNDU,3571.0,Electronic Computers,2,2,0,2,1.17
"Clover Biopharmaceuticals, Ltd.",CBPHF,,,1,1,0,1,0.58
Kodiak Sciences Inc.,KOD,2836.0,"Biological Products, (No Diagnostic Substances)",1,1,0,1,0.58
PyroGenesis Canada Inc.,PYRGF,2834.0,Pharmaceutical Preparations,1,1,0,1,0.58
